Product and version,End of Maintenance,End of free email support (for perpetual licenses)
WinZip 28,August 2024,August 2026
WinZip 27,August 2023,August 2025
WinZip 26,August 2022,August 2024
WinZip for Mac 11,November 2024,-
WinZip for Mac 10,November 2023,-
WinZip for Mac 9,July 2022,-
WinZip Enterprise 28,August 2024,August 2026
WinZip Enterprise 27,August 2023,August 2025
WinZip Enterprise 26,August 2022,August 2024
WinZip Command Line 6.0,-,-
WinZip Command Line 5.0,August 2021,-
WinZip Command Line 4.0,April 2018,-
WinZip Courier 12.0,-,-
WinZip Courier 11.0,May 2022,-
WinZip Courier 10.0,April 2021,-
WinZip Self-Extractor 4.0 ,-,-
WinZip SafeMedia 7.0,-,-
WinZip PDF Pro,-,-
